Model,Departure Time,Departure Location,Arrival Time,Arrival Location,Delay,Expected Time,Weather,Peak Hour,Bad Weather,Traffic Congestion,Crew Availability Issue
Boeing 737,2024-10-28 09:55:13.350861,JFK,2024-10-28 13:20:13.350861,SFO,True,2024-10-28 11:55:13.350861,Fog,False,True,False,True
Boeing 737,2024-10-28 19:25:13.350900,LAX,2024-10-28 23:06:13.350900,MIA,True,2024-10-28 21:25:13.350900,Thunderstorm,False,True,False,False
Airbus A320,2024-11-15 03:35:13.350922,DEN,2024-11-15 06:35:13.350922,MIA,False,2024-11-15 06:35:13.350922,Snow,False,True,False,False
Boeing 777,2024-11-14 12:53:13.350939,ORD,2024-11-14 14:53:13.350939,MIA,False,2024-11-14 14:53:13.350939,Clear,False,False,False,False
Boeing 777,2024-11-15 04:33:13.350955,SFO,2024-11-15 10:31:13.350955,MIA,True,2024-11-15 09:33:13.350955,Clear,False,False,False,False
Airbus A350,2024-11-12 04:49:13.350976,SFO,2024-11-12 07:49:13.350976,DFW,False,2024-11-12 07:49:13.350976,Clear,False,False,False,False
Airbus A320,2024-10-29 17:27:13.350992,LAX,2024-10-29 22:24:13.350992,DEN,True,2024-10-29 21:27:13.350992,Snow,True,True,True,False
Boeing 737,2024-11-08 02:02:13.351014,SEA,2024-11-08 05:02:13.351014,ORD,False,2024-11-08 05:02:13.351014,Fog,False,True,False,False
Boeing 777,2024-11-11 13:40:13.351033,LAS,2024-11-11 17:35:13.351033,DFW,True,2024-11-11 15:40:13.351033,Clear,False,False,False,False
Boeing 787,2024-10-27 21:43:13.351049,MIA,2024-10-28 03:16:13.351049,LAX,True,2024-10-28 01:43:13.351049,Fog,False,True,False,False
Boeing 787,2024-10-25 10:34:13.351064,ORD,2024-10-25 16:34:13.351064,SFO,False,2024-10-25 16:34:13.351064,Thunderstorm,False,True,False,False
Boeing 787,2024-11-01 09:55:13.351074,SEA,2024-11-01 15:55:13.351074,ATL,False,2024-11-01 15:55:13.351074,Clear,False,False,False,False
Boeing 737,2024-11-10 08:37:13.351084,LAX,2024-11-10 14:36:13.351084,DFW,True,2024-11-10 13:37:13.351084,Fog,True,True,False,False
Airbus A350,2024-11-11 20:35:13.351096,JFK,2024-11-12 00:35:13.351096,ORD,False,2024-11-12 00:35:13.351096,Clear,False,False,False,False
Boeing 777,2024-11-04 03:33:13.351105,ATL,2024-11-04 08:47:13.351105,ORD,True,2024-11-04 07:33:13.351105,Clear,False,False,False,False
Airbus A350,2024-10-25 14:35:13.351138,SEA,2024-10-25 19:01:13.351138,DFW,True,2024-10-25 17:35:13.351138,Snow,False,True,False,False
Boeing 737,2024-11-18 12:02:13.351153,LAX,2024-11-18 15:24:13.351153,ATL,True,2024-11-18 14:02:13.351153,Clear,False,False,False,True
Boeing 787,2024-11-14 06:55:13.351172,LAX,2024-11-14 12:38:13.351172,SEA,True,2024-11-14 11:55:13.351172,Thunderstorm,False,True,False,False
Airbus A320,2024-11-12 12:12:13.351190,LAS,2024-11-12 16:12:13.351190,DFW,False,2024-11-12 16:12:13.351190,Thunderstorm,False,True,False,False
Boeing 787,2024-10-28 05:08:13.351205,LAX,2024-10-28 08:33:13.351205,MIA,True,2024-10-28 07:08:13.351205,Rain,False,True,False,True
Boeing 737,2024-10-23 04:42:13.351221,JFK,2024-10-23 09:57:13.351221,MIA,True,2024-10-23 08:42:13.351221,Rain,False,True,False,False
Boeing 787,2024-10-26 02:46:13.351232,DFW,2024-10-26 08:46:13.351232,SEA,False,2024-10-26 08:46:13.351232,Rain,False,True,False,False
Boeing 787,2024-10-24 06:29:13.351240,ATL,2024-10-24 11:29:13.351240,DFW,False,2024-10-24 11:29:13.351240,Fog,False,True,False,False
Boeing 787,2024-11-11 23:28:13.351249,DEN,2024-11-12 02:29:13.351249,JFK,True,2024-11-12 01:28:13.351249,Snow,False,True,False,True
Airbus A320,2024-11-07 16:55:13.351267,DFW,2024-11-07 22:40:13.351267,MIA,True,2024-11-07 21:55:13.351267,Fog,True,True,True,True
Boeing 787,2024-10-22 23:21:13.351282,LAS,2024-10-23 03:07:13.351282,LAX,True,2024-10-23 01:21:13.351282,Rain,False,True,False,True
Boeing 787,2024-10-27 15:44:13.351292,DEN,2024-10-27 18:42:13.351292,LAS,True,2024-10-27 17:44:13.351292,Clear,False,False,False,False
Boeing 777,2024-11-04 01:33:13.351303,DEN,2024-11-04 07:33:13.351303,MIA,False,2024-11-04 07:33:13.351303,Rain,False,True,False,False
Airbus A320,2024-10-22 21:34:13.351312,MIA,2024-10-23 05:19:13.351312,DFW,True,2024-10-23 03:34:13.351312,Snow,False,True,False,True
Boeing 737,2024-11-06 18:57:13.351323,SEA,2024-11-06 22:55:13.351323,DEN,True,2024-11-06 20:57:13.351323,Rain,True,True,True,True
Airbus A320,2024-11-18 21:02:13.351335,ATL,2024-11-19 04:31:13.351335,LAX,True,2024-11-19 03:02:13.351335,Clear,False,False,False,False
Airbus A350,2024-10-31 11:00:13.351346,SEA,2024-10-31 15:43:13.351346,LAS,True,2024-10-31 15:00:13.351346,Fog,False,True,False,True
Boeing 777,2024-11-19 04:47:13.351357,DEN,2024-11-19 10:06:13.351357,SFO,True,2024-11-19 09:47:13.351357,Thunderstorm,False,True,False,True
Airbus A350,2024-11-19 14:43:13.351368,MIA,2024-11-19 17:40:13.351368,ORD,True,2024-11-19 16:43:13.351368,Snow,False,True,False,True
Boeing 787,2024-11-09 23:20:13.351379,LAS,2024-11-10 01:20:13.351379,MIA,False,2024-11-10 01:20:13.351379,Clear,False,False,False,False
Airbus A320,2024-11-18 06:34:13.351389,MIA,2024-11-18 13:18:13.351389,LAX,True,2024-11-18 12:34:13.351389,Snow,False,True,False,True
Boeing 777,2024-11-06 18:03:13.351399,DFW,2024-11-06 21:34:13.351399,SFO,True,2024-11-06 20:03:13.351399,Fog,True,True,False,True
Boeing 737,2024-11-10 10:57:13.351412,SFO,2024-11-10 15:57:13.351412,ORD,False,2024-11-10 15:57:13.351412,Thunderstorm,False,True,False,False
Boeing 737,2024-11-19 01:44:13.351421,LAX,2024-11-19 06:40:13.351421,ORD,True,2024-11-19 04:44:13.351421,Snow,False,True,False,True
Boeing 787,2024-10-30 14:44:13.351432,ORD,2024-10-30 16:44:13.351432,JFK,False,2024-10-30 16:44:13.351432,Rain,False,True,False,False
Airbus A320,2024-11-14 20:43:13.351441,LAX,2024-11-15 02:23:13.351441,ATL,True,2024-11-15 01:43:13.351441,Rain,False,True,False,True
Boeing 787,2024-11-13 13:37:13.351453,JFK,2024-11-13 19:21:13.351453,DFW,True,2024-11-13 18:37:13.351453,Rain,False,True,False,True
Boeing 787,2024-10-28 09:39:13.351463,JFK,2024-10-28 14:39:13.351463,LAS,False,2024-10-28 14:39:13.351463,Snow,False,True,False,False
Airbus A320,2024-11-11 09:12:13.351472,DFW,2024-11-11 13:12:13.351472,JFK,False,2024-11-11 13:12:13.351472,Clear,False,False,False,False
Boeing 777,2024-11-03 00:40:13.351481,SFO,2024-11-03 06:40:13.351481,SEA,False,2024-11-03 06:40:13.351481,Clear,False,False,False,False
Boeing 737,2024-11-08 10:49:13.351491,MIA,2024-11-08 12:49:13.351491,ORD,False,2024-11-08 12:49:13.351491,Snow,False,True,False,False
Boeing 777,2024-10-24 15:44:13.351505,ATL,2024-10-24 22:26:13.351505,SEA,True,2024-10-24 21:44:13.351505,Clear,False,False,False,False
Boeing 737,2024-11-12 02:34:13.351523,LAS,2024-11-12 05:34:13.351523,SEA,False,2024-11-12 05:34:13.351523,Fog,False,True,False,False
Boeing 737,2024-11-11 06:33:13.351536,SFO,2024-11-11 10:33:13.351536,ATL,False,2024-11-11 10:33:13.351536,Fog,False,True,False,False
Boeing 777,2024-11-07 06:59:13.351551,ATL,2024-11-07 11:59:13.351551,MIA,False,2024-11-07 11:59:13.351551,Rain,False,True,False,False
Airbus A350,2024-11-02 20:40:13.351562,SEA,2024-11-02 22:40:13.351562,MIA,False,2024-11-02 22:40:13.351562,Snow,False,True,False,False
Airbus A320,2024-11-04 17:15:13.351575,ATL,2024-11-04 20:15:13.351575,SFO,False,2024-11-04 20:15:13.351575,Rain,True,True,True,False
